# Chinese lookup aliases | English gloss
# The user-facing input scheme outputs Simplified Chinese only.
# Derived from CC-CEDICT, published by MDBG.
# License: CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/
# Source date: 2026-08-23T06:21:07Z
110	the emergency number for law enforcement in Mainland China and…
119	the emergency number for firefighting services in Mainland China
11区	(ACG) Japan (from the anime "Code Geass", in which Japan was re…
11區	(ACG) Japan (from the anime "Code Geass", in which Japan was re…
120	the emergency number for medical assistance and first aid in Ma…
2019冠状病毒病	COVID-19, the coronavirus disease identified in 2019
2019冠狀病毒病	COVID-19, the coronavirus disease identified in 2019
21三体综合症	trisomy; Down's syndrome
21三體綜合症	trisomy; Down's syndrome
3C	computers, communications, and consumer electronics
3D打印	to 3D print; 3D printing
3D打印机	3D printer
3D打印機	3D printer
3P	(slang) threesome
3Q	(Internet slang) thank you (loanword)
421	four grandparents, two parents and an only child
4S店	authorized full-service car dealership (offering sales, spare p…
502胶	cyanoacrylate glue
502膠	cyanoacrylate glue
88	(Internet slang) bye-bye (alternative for 拜拜[bai2 bai2])
95后	people born between 1995-01-01 and 1999-12-31
95後	people born between 1995-01-01 and 1999-12-31
996	9am–9pm, six days a week (work schedule)
A	(slang) (Tw) to steal
AA制	to split the bill; to go Dutch
AB制	to split the bill (where the male counterpart foots the larger…
ACG	acronym for "anime, comics and games"
A咖	(coll.) A-list; top-tier
A圈儿	at symbol, @
A圈兒	at symbol, @
A片	adult movie; pornography
A菜	(Tw) A-choy, or Taiwanese lettuce (Lactuca sativa var. sativa)…
A貨	good-quality fake
A货	good-quality fake
B	euphemistic variant of 屄[bi1]
BM	Brandy Melville, fashion brand known for clothes targeted at ve…
BP机	(loanword) beeper; pager
BP機	(loanword) beeper; pager
B型超声	type-B ultrasound
B型超聲	type-B ultrasound
B格	variant of 逼格[bi1 ge2]
B站	(coll.) Bilibili, Chinese video-sharing website featuring scrol…
B超	B-mode ultrasonography; prenatal ultrasound scan
CJB	(Internet slang) doesn't live up to the hype
CP	an imagined romantic relationship between two characters in fic…
CP值	(Tw) value for money; bang for your buck
C位	(neologism, c. 2015) (coll.) most prominent position (e.g. in a…
C盘	C drive or default startup drive (computing)
C盤	C drive or default startup drive (computing)
C罗	nickname of Portuguese soccer player Cristiano Ronaldo
C羅	nickname of Portuguese soccer player Cristiano Ronaldo
DNA鉴定	DNA test; DNA testing
DNA鑒定	DNA test; DNA testing
E仔	MDMA (C11H15NO2)
G友	see 基友[ji1 you3]
G弦裤	G-string
G弦褲	G-string
G点	G-spot
G點	G-spot
H桥	H bridge (electronics)
H橋	H bridge (electronics)
IP	intellectual property (in China, esp. since 2015, often used as…
IP剧	screen adaptation (TV series or movie based on an online novel…
IP劇	screen adaptation (TV series or movie based on an online novel…
JK制服	(Japanese) high school girl’s uniform
K书	(Tw) to cram; to study (from Taiwanese 齧書, Tai-lo pr. [khè-su]…
K人	(slang) to hit sb; to beat sb
K仔	ketamine (slang)
K他命	ketamine (C13H16ClNO) (slang)
K房	(slang) KTV; KTV room
K書	(Tw) to cram; to study (from Taiwanese 齧書, Tai-lo pr. [khè-su]…
K歌	karaoke (slang)
K粉	ketamine (slang)
K線	candlestick (in a candlestick chart)
K線圖	candlestick chart
K线	candlestick (in a candlestick chart)
K线图	candlestick chart
K金	see 開金|开金[kai1 jin1]
L照	nude picture (from 裸照[luo3 zhao4])
MC	(Tw) (coll.) menstruation (from "menstrual cycle")
MV	desirability as a partner (abbr. for "mate value"); music video
M巾	(coll.) menstrual pad
NG	(film and TV) blooper; outtake; to do a blooper (from Japanese…
NG片段	(film and TV) blooper; outtake
NG鏡頭	(film and TV) blooper; outtake
NG镜头	(film and TV) blooper; outtake
N久	a very long time (etymology: in mathematics, n represents an ar…
N挡	neutral (gear)
N擋	neutral (gear)
OK繃	(Tw) band-aid; sticking plaster
OK绷	(Tw) band-aid; sticking plaster
OK鏡	OK lens, orthokeratology contact lens that helps reshape the co…
OK镜	OK lens, orthokeratology contact lens that helps reshape the co…
OS	(in a soap opera or movie) voice-over that makes a character's…
O型腿	bow legs; bow-leggedness
P	(slang) femme (lesbian stereotype); to photoshop
PA	public area attendant (tasked with cleaning the public areas of…
PA部	hotel staff work unit tasked with keeping the public areas of a…
PK	(slang) to take on; to challenge
PO	(Tw) (coll.) to post (online)
PO文	(coll.) to post a message
PU	the degree of suspicion that a woman might, after she marries…
PUA	(neologism, attested by 2019) to exert control over (sb) by mea…
P图	(Internet slang) to photoshop a picture; photoshopped picture
P圖	(Internet slang) to photoshop a picture; photoshopped picture
P挡	park (gear); program mode (on a digital camera)
P擋	park (gear); program mode (on a digital camera)
P民	(slang) shitizen; commoner
Q	cute (loanword)
QR扣	(Tw) (loanword) QR code
Q劲	springy mouthfeel
Q勁	springy mouthfeel
Q弹	(of a food's mouthfeel) springy; firm
Q彈	(of a food's mouthfeel) springy; firm
T	(slang) butch (lesbian stereotype)
TA	he or she
TF卡	microSD card
Tony	(slang) hairdresser
Tony老师	(slang) hairdresser
Tony老師	(slang) hairdresser
T台	runway (for a fashion show etc); catwalk
T型台	runway (for a fashion show etc); catwalk
T字帐	T-account (accounting)
T字帳	T-account (accounting)
T字裤	thong (underwear)
T字褲	thong (underwear)
T恤	(loanword) T-shirt
T裇	variant of T恤[T xu4]
UP主	(Internet slang) uploader (person who uploads a video or other…
USB手指	USB flash drive
U凸內褲	contour pouch brief (men's underwear)
U凸内裤	contour pouch brief (men's underwear)
U型枕	travel pillow
U型池	(sports) vert ramp; half-pipe
U形轉彎	U-turn
U形转弯	U-turn
U盘	USB flash drive; thumb drive
U盤	USB flash drive; thumb drive
U盾	USB key used as a security token in Chinese online banking
VCR	video clip (loanword from "videocassette recorder")
V沟	low neckline that reveals the cleavage; décolleté
V溝	low neckline that reveals the cleavage; décolleté
XO酱	XO sauce, a spicy seafood sauce invented in Hong Kong in the 19…
XO醬	XO sauce, a spicy seafood sauce invented in Hong Kong in the 19…
X光	X-ray
Z世代	Generation Z; Zoomers
cos	(Internet slang) cosplay; to cosplay
coser	cosplayer
e人	(slang) extroverted person
ins	Instagram
i人	(slang) introverted person
ky	(slang) socially tone-deaf; unable to read the room (from Japan…
mua	(onom.) mwah (sound of a kiss)
w	(Internet slang) ten thousand (abbr. for 萬|万[wan4])
word	my (Internet slang variant of 我的[wo3 de5])
word姐	my big sister (Internet slang version of 我的姐[wo3 de5 jie3])
□	(Tw) (coll.) cool; awesome
○	character used in Taiwan as a substitute for a real name (like…
⺮	"bamboo" radical in Chinese characters (Kangxi radical 118)
々	iteration mark indicating repetition of the preceding character…
〇	zero
〡	numeral 1 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〢	numeral 2 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〣	numeral 3 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〤	numeral 4 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〥	numeral 5 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〦	numeral 6 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〧	numeral 7 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〨	numeral 8 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〩	numeral 9 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〸	numeral 10 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〻	iteration mark indicating repetition of the preceding character…
ㄅㄧㄤˋ	(Tw) (coll.) cool; awesome
ㄏㄤ	(Tw) (slang) popular; hot (from Taiwanese 烘, Tai-lo pr. [hang])
㐄	component in Chinese characters, mirror image of 夂[zhi3]
㐅	old variant of 五[wu3]
㐌	variant of 它[ta1]
㐖	used in 㐖毒[Xie2 du2]
㐖毒	archaic name for India
㐜	variant of 仇[chou2]
㐡	old variant of 懦[nuo4]
㐤	old variant of 求[qiu2]
㐫	old variant of 凶[xiong1]
㐰	old variant of 信[xin4]
㐷	(Chinese chess) horse; knight (on the red side)
㐺	old variant of 眾|众[zhong4]
㑇	(old) beautiful; clever
㑊	used in 解㑊[xie4 yi4]
㑩	used in 僂儸|偻㑩[lou2 luo5]
㑳	(old) beautiful; clever
㑺	old variant of 俊[jun4]
㒳	old variant of 兩|两[liang3]
㒸	old variant of 遂[sui4]
㒺	old variant of 罔[wang3]
㓂	old variant of 寇[kou4]
㓥	(Cantonese) to butcher; to cut open; to chop up (used in 劏房|㓥房[…
㓥房	(HK) subdivided flat (apartment); partitioned apartment; tiny r…
㔾	"seal" radical in Chinese characters (Kangxi radical 26)
㕁	old variant of 卻|却[que4]
㕑	old variant of 廚|厨[chu2]
㕘	variant of 參|参[can1]
㕥	old variant of 呻[shen1]; old variant of 以[yi3]
㕯	old variant of 訥|讷[ne4]
㕻	variant of 咅[pou3]
㖊	fathom (1.83 meters) (old)
㖞	awry (mouth); askew
㗂	tight-lipped; to examine
㘎	(literary) (of a tiger) to growl; to roar
㘓	used in 㘓哰|𪢌哰[lan2 lao2]
㘓哰	incoherent; unintelligible
㘚	(literary) (of a tiger) to growl; to roar
㘭	variant of 坳[ao4]
㘵	(used in place names)
㙍	(used in place names)
