# Common English word | short Simplified Chinese gloss
# Derived from ECDICT. License: MIT.
# Source snapshot downloaded: 2026-08-25
# Source SHA-256: 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf
a	第一个字母A
a-road	<英>A级公
aa	绝对地址
aaa	急性焦虑发作
aaah	Americ
aachen	亚琛[德意志
aah	[军]Arm
aardvark	土豚
aargh	啊
aaron	亚伦（男子名
ab	从
aba	宽大无袖长袍
ababa	人名
aback	向后
abacus	算盘
abalone	鲍
abandon	放弃
abandoned	被抛弃的
abandoning	放弃
abandonment	放弃
abase	降低...的
abasement	贬抑
abash	使不安
abashed	不安的
abate	减少
abatement	减少
abattoir	屠场
abaya	毛织物
abb	等外羊毛
abba	阿爸父
abbas	阿巴斯（地名
abbe	男修道院院长
abbess	女修道院院长
abbeville	阿布维尔（法
abbey	大修道院
abbot	男修道院院长
abbott	阿尔伯特（人
abbreviate	缩写
abbreviated	缩写的
abbreviation	缩写词
abby	艾比（女子名
abc	预定章程
abd	[俚]准博士
abdallah	人名
abdel	人名
abdicate	正式放弃
abdication	逊位
abdomen	腹部
abdominal	腹部的
abduct	诱拐
abducted	诱拐
abductee	被绑架者
abduction	诱拐
abductor	诱拐者
abdul	阿卜杜勒（人
abdullah	阿布杜拉（人
abe	亚伯（男子名
abed	在床上
abel	亚伯（亚当和
abelard	阿伯拉德（法
abercrombie	阿伯克龙比（
aberdare	亚伯达
aberdeen	亚伯丁（英国
aberdeenshire	阿伯丁郡[英
abergavenny	阿伯加文尼（
abernethy	硬饼干
aberrant	偏离正路的
aberration	离开正路
aberrational	离开轨道的
aberystwyth	阿伯里斯特威
abet	教唆
abeyance	中止
abhor	憎恶
abhorrence	厌恶
abhorrent	令人憎恨的
abi	联合商业情报
abide	停留
abiding	永久的
abidjan	阿比让（科特
abie	人名
abigail	贴身使女
ability	能力
abingdon	阿宾顿（位于
abiotic	无生命的
abject	绝望无助的
abjection	卑鄙
abjectly	低贱
abjure	发誓断绝
abkhazia	阿布哈兹（格
abl	结构框图语言
ablate	切除
ablation	腐蚀
ablative	夺格的
ablaze	着火的
able	能干的
ablution	洗澡
ably	能干地
abm	反弹道导弹
abnegate	放弃
abnegation	放弃
abnormal	反常的
abnormality	反常
abnormally	不正常
abo	ABO分型法
aboard	在船上
abode	住所
abolish	废止
abolishment	废止
abolition	废除
abolitionism	废除主义
abolitionist	废除主义者
abominable	讨厌的
abominably	可恶地
abominate	厌恶
abomination	厌恶
aboriginal	原始的
aboriginals	土著居民（a
aborigine	土著
abort	流产
aborted	流产的
abortifacient	堕胎药
abortion	流产
abortionist	为人堕胎者
abortive	流产的
abound	大量存在
about	在...周围
above	在上方
aboveboard	光明正大地
abracadabra	咒语
abrade	擦伤
abraded	刮擦的
abraham	亚伯拉罕（男
abrahamic	亚伯拉罕（人
abrahams	人名
abram	艾布拉姆（男
abrams	艾布拉姆斯（
abrasion	磨擦
abrasive	研磨料
abrasively	有磨蚀作用
abrasiveness	磨损性
abreast	并肩地
abridge	缩短
abridged	删节的
abridgement	节本
abridgment	删节
abroad	往国外
abrogate	废除
abrogation	废除
abrupt	突然的
abruptly	突然地
abruptness	突然
abs	绝对
absalom	押沙龙
abscess	脓肿
abscessed	有脓肿的
abscission	切断
abscond	潜逃
abseil	沿绳滑下法
absence	缺席
absent	缺席的
absentee	缺席者
absenteeism	经常无故缺席
absently	心不在焉地
absentmindedly	茫然地
absinthe	艾酒
absolute	绝对的
absolutely	完全地
absoluteness	绝对
absolution	免罪
absolutism	专制主义
absolutist	专制主义者
absolve	宣告...无
absorb	吸收
absorbable	可吸收的
absorbance	吸光率
absorbed	全神贯注的
absorbency	吸收性
absorbent	能吸收的
absorber	吸收器
absorbing	吸引人的
absorption	吸收
absorptive	吸收性的
abstain	自制
abstainer	节制者
abstemious	有节制的
abstention	戒绝
abstentious	有节制的
abstinence	节制
abstinent	有节制的
abstract	抽象的
abstracted	心不在焉的
abstractedly	心不在焉
abstraction	抽象化
